ts,src,dst,dport,proto,app,sni,host,uri,ja3,family,verdict
0.5,192.0.2.30,198.51.100.53,53,udp,dns,-,203.0.113.10,/,-,dns,clean
0.6,192.0.2.28,198.51.100.53,53,udp,dns,-,203.0.113.11,/,-,dns,clean
0.6,192.0.2.22,198.51.100.53,53,udp,dns,-,203.0.113.12,/,-,dns,clean
0.7,192.0.2.16,198.51.100.53,53,udp,dns,-,203.0.113.13,/,-,dns,clean
0.7,192.0.2.21,198.51.100.53,53,udp,dns,-,203.0.113.14,/,-,dns,clean
0.8,192.0.2.17,198.51.100.53,53,udp,dns,-,bv7xk2qmzp41tn9w3jfx8c2d.invalid,/,-,dns,suspicious
0.8,192.0.2.26,198.51.100.53,53,udp,dns,-,docs.example,/,-,dns,clean
0.9,192.0.2.23,198.51.100.53,53,udp,dns,-,intranet.example,/,-,dns,clean
0.9,192.0.2.30,198.51.100.53,53,udp,dns,-,k4pr82tmxq50z1n6hc4vs3d7.invalid,/,-,dns,suspicious
0.9,192.0.2.28,198.51.100.53,53,udp,dns,-,mail.example,/,-,dns,clean
1.0,192.0.2.22,198.51.100.53,53,udp,dns,-,news.invalid,/,-,dns,clean
1.1,192.0.2.16,198.51.100.53,53,udp,dns,-,ntp.example,/,-,dns,clean
1.1,192.0.2.21,198.51.100.53,53,udp,dns,-,p9q2wk5m8zx1j3f7dx4nb6c2h5t.invalid,/,-,dns,suspicious
1.1,192.0.2.17,198.51.100.53,53,udp,dns,-,portal.example,/,-,dns,clean
1.2,192.0.2.26,198.51.100.53,53,udp,dns,-,search.example,/,-,dns,clean
1.2,192.0.2.23,198.51.100.53,53,udp,dns,-,time.example,/,-,dns,clean
1.3,192.0.2.30,198.51.100.53,53,udp,dns,-,w2r6y3u8o1e5q0s4a7d9g2h5j.invalid,/,-,dns,suspicious
1.4,192.0.2.28,198.51.100.53,53,udp,dns,-,wiki.example,/,-,dns,clean
3.2,192.0.2.28,198.51.100.10,443,tcp,http,intranet.example,intranet.example,/api/v1/me,browser-chro,benign,clean
6.6,192.0.2.30,198.51.100.10,443,tcp,http,intranet.example,intranet.example,/assets/app.css,browser-chro,benign,clean
19.4,192.0.2.30,198.51.100.12,443,tcp,http,static.example,203.0.113.12,"/api/v1/telemetry/up?d=@M@M@M@M@M…",c2-fronting-,campaign,malicious
20.3,192.0.2.28,198.51.100.10,443,tcp,http,cdn.example,203.0.113.13,"/api/v1/telemetry/up?d=@M@M@M@M@M…",c2-fronting-,campaign,malicious
24.7,192.0.2.17,198.51.100.10,443,tcp,http,search.example,search.example,/assets/app.css,browser-chro,benign,clean
26.6,192.0.2.22,198.51.100.10,443,tcp,http,updates.example,203.0.113.12,"/api/v1/telemetry/up?d=@M@M@M@M@M…",c2-fronting-,campaign,malicious
29.6,192.0.2.21,198.51.100.11,443,tcp,http,mail.example,mail.example,/,browser-chro,benign,clean
34.2,192.0.2.26,198.51.100.10,443,tcp,http,search.example,search.example,/assets/app.css,browser-chro,benign,clean
35.1,192.0.2.23,198.51.100.10,443,tcp,http,docs.example,docs.example,/search?q=meeting+notes,browser-chro,benign,clean
38.2,192.0.2.16,198.51.100.13,443,tcp,http,search.example,search.example,/search?q=meeting+notes,browser-chro,benign,clean
43.0,192.0.2.22,198.51.100.13,443,tcp,http,news.invalid,news.invalid,/,browser-chro,benign,clean
68.0,192.0.2.28,198.51.100.12,443,tcp,http,static.example,203.0.113.12,/api/v1/telemetry,c2-fronting-,campaign,malicious
70.5,192.0.2.30,198.51.100.13,443,tcp,http,api.example,203.0.113.14,/api/v1/telemetry,c2-fronting-,campaign,malicious
73.1,192.0.2.22,198.51.100.13,443,tcp,http,static.example,203.0.113.14,/api/v1/telemetry,c2-fronting-,campaign,malicious
84.6,192.0.2.28,198.51.100.12,443,tcp,http,portal.example,portal.example,/,browser-chro,benign,clean
96.8,192.0.2.30,198.51.100.53,123,udp,ntp,-,ntp.example,/,-,ntp,clean
113.3,192.0.2.28,198.51.100.12,443,tcp,http,updates.example,203.0.113.14,/api/v1/telemetry,c2-fronting-,campaign,malicious
113.6,192.0.2.30,198.51.100.12,443,tcp,http,updates.example,203.0.113.11,/api/v1/telemetry,c2-fronting-,campaign,malicious
128.6,192.0.2.22,198.51.100.10,443,tcp,http,cdn.example,203.0.113.10,/api/v1/telemetry,c2-fronting-,campaign,malicious
142.8,192.0.2.30,198.51.100.13,443,tcp,http,api.example,203.0.113.13,/api/v1/telemetry,c2-fronting-,campaign,malicious
152.8,192.0.2.28,198.51.100.11,443,tcp,http,static.example,203.0.113.12,/api/v1/telemetry,c2-fronting-,campaign,malicious
178.7,192.0.2.22,198.51.100.13,443,tcp,http,static.example,203.0.113.12,/api/v1/telemetry,c2-fronting-,campaign,malicious
187.2,192.0.2.30,198.51.100.10,443,tcp,http,api.example,203.0.113.12,/api/v1/telemetry,c2-fronting-,campaign,malicious
196.6,192.0.2.28,198.51.100.11,443,tcp,http,api.example,203.0.113.11,/api/v1/telemetry,c2-fronting-,campaign,malicious
216.5,192.0.2.22,198.51.100.10,443,tcp,http,assets.example,203.0.113.11,/api/v1/telemetry,c2-fronting-,campaign,malicious
224.6,192.0.2.30,198.51.100.12,443,tcp,http,cdn.example,203.0.113.13,/api/v1/telemetry,c2-fronting-,campaign,malicious
242.5,192.0.2.28,198.51.100.10,443,tcp,http,static.example,203.0.113.14,/api/v1/telemetry,c2-fronting-,campaign,malicious
248.2,192.0.2.21,198.51.100.53,123,udp,ntp,-,ntp.example,/,-,ntp,clean
250.6,192.0.2.22,198.51.100.10,443,tcp,http,mail.example,mail.example,/,browser-chro,benign,clean
258.7,192.0.2.22,198.51.100.12,443,tcp,http,updates.example,203.0.113.12,/api/v1/telemetry,c2-fronting-,campaign,malicious
278.1,192.0.2.30,198.51.100.11,443,tcp,http,api.example,203.0.113.14,/api/v1/telemetry,c2-fronting-,campaign,malicious
284.7,192.0.2.28,198.51.100.13,443,tcp,http,updates.example,203.0.113.12,/api/v1/telemetry,c2-fronting-,campaign,malicious
286.6,192.0.2.17,198.51.100.11,443,tcp,http,intranet.example,intranet.example,/api/v1/me,browser-chro,benign,clean
302.8,192.0.2.22,198.51.100.12,443,tcp,http,assets.example,203.0.113.13,/api/v1/telemetry,c2-fronting-,campaign,malicious
318.6,192.0.2.30,198.51.100.13,443,tcp,http,cdn.example,203.0.113.14,"/api/v1/telemetry/up?d=@M@M@M@M@M…",c2-fronting-,campaign,malicious
328.1,192.0.2.21,198.51.100.13,443,tcp,http,search.example,search.example,/index.html,browser-chro,benign,clean
329.0,192.0.2.26,198.51.100.12,443,tcp,http,intranet.example,intranet.example,/assets/app.css,browser-chro,benign,clean
329.1,192.0.2.28,198.51.100.13,443,tcp,http,api.example,203.0.113.14,"/api/v1/telemetry/up?d=@M@M@M@M@M…",c2-fronting-,campaign,malicious
333.2,192.0.2.23,198.51.100.13,443,tcp,http,search.example,search.example,/,browser-chro,benign,clean
340.7,192.0.2.22,198.51.100.10,443,tcp,http,static.example,203.0.113.10,"/api/v1/telemetry/up?d=@M@M@M@M@M…",c2-fronting-,campaign,malicious
361.4,192.0.2.30,198.51.100.12,443,tcp,http,static.example,203.0.113.11,/api/v1/telemetry,c2-fronting-,campaign,malicious
371.9,192.0.2.26,198.51.100.53,123,udp,ntp,-,ntp.example,/,-,ntp,clean
378.5,192.0.2.28,198.51.100.13,443,tcp,http,static.example,203.0.113.11,/api/v1/telemetry,c2-fronting-,campaign,malicious
391.3,192.0.2.30,198.51.100.11,443,tcp,http,wiki.example,wiki.example,/assets/app.css,browser-chro,benign,clean
393.1,192.0.2.22,198.51.100.10,443,tcp,http,updates.example,203.0.113.14,/api/v1/telemetry,c2-fronting-,campaign,malicious
410.3,192.0.2.30,198.51.100.12,443,tcp,http,static.example,203.0.113.13,/api/v1/telemetry,c2-fronting-,campaign,malicious
419.1,192.0.2.28,198.51.100.13,443,tcp,http,cdn.example,203.0.113.10,/api/v1/telemetry,c2-fronting-,campaign,malicious
425.3,192.0.2.23,198.51.100.53,123,udp,ntp,-,time.example,/,-,ntp,clean
428.2,192.0.2.28,198.51.100.10,443,tcp,http,news.invalid,news.invalid,/assets/app.css,browser-chro,benign,clean
446.1,192.0.2.22,198.51.100.13,443,tcp,http,api.example,203.0.113.14,/api/v1/telemetry,c2-fronting-,campaign,malicious
460.4,192.0.2.30,198.51.100.10,443,tcp,http,api.example,203.0.113.12,/api/v1/telemetry,c2-fronting-,campaign,malicious
467.1,192.0.2.16,198.51.100.13,443,tcp,http,search.example,search.example,/api/v1/me,browser-chro,benign,clean
471.2,192.0.2.28,198.51.100.13,443,tcp,http,api.example,203.0.113.13,/api/v1/telemetry,c2-fronting-,campaign,malicious
495.5,192.0.2.17,198.51.100.10,443,tcp,http,wiki.example,wiki.example,/api/v1/me,browser-chro,benign,clean
496.5,192.0.2.22,198.51.100.11,443,tcp,http,assets.example,203.0.113.10,/api/v1/telemetry,c2-fronting-,campaign,malicious
508.3,192.0.2.30,198.51.100.11,443,tcp,http,updates.example,203.0.113.10,/api/v1/telemetry,c2-fronting-,campaign,malicious
512.9,192.0.2.28,198.51.100.10,443,tcp,http,updates.example,203.0.113.12,/api/v1/telemetry,c2-fronting-,campaign,malicious
528.9,192.0.2.22,198.51.100.12,443,tcp,http,news.invalid,news.invalid,/search?q=meeting+notes,browser-chro,benign,clean
541.7,192.0.2.22,198.51.100.10,443,tcp,http,assets.example,203.0.113.10,/api/v1/telemetry,c2-fronting-,campaign,malicious
551.0,192.0.2.21,198.51.100.11,443,tcp,http,search.example,search.example,/search?q=meeting+notes,browser-chro,benign,clean
554.6,192.0.2.28,198.51.100.13,443,tcp,http,static.example,203.0.113.10,/api/v1/telemetry,c2-fronting-,campaign,malicious
562.4,192.0.2.30,198.51.100.13,443,tcp,http,updates.example,203.0.113.12,/api/v1/telemetry,c2-fronting-,campaign,malicious
563.3,192.0.2.16,198.51.100.10,443,tcp,http,search.example,search.example,/search?q=meeting+notes,browser-chro,benign,clean
576.2,192.0.2.28,198.51.100.53,123,udp,ntp,-,time.example,/,-,ntp,clean
579.7,192.0.2.28,198.51.100.12,443,tcp,http,news.invalid,news.invalid,/assets/app.css,browser-chro,benign,clean
589.0,192.0.2.22,198.51.100.10,443,tcp,http,api.example,203.0.113.14,/api/v1/telemetry,c2-fronting-,campaign,malicious
598.4,192.0.2.28,198.51.100.12,443,tcp,http,static.example,203.0.113.12,/api/v1/telemetry,c2-fronting-,campaign,malicious
606.7,192.0.2.30,198.51.100.13,443,tcp,http,updates.example,203.0.113.13,/api/v1/telemetry,c2-fronting-,campaign,malicious
631.4,192.0.2.26,198.51.100.13,443,tcp,http,intranet.example,intranet.example,/search?q=meeting+notes,browser-chro,benign,clean
632.2,192.0.2.22,198.51.100.12,443,tcp,http,cdn.example,203.0.113.14,/api/v1/telemetry,c2-fronting-,campaign,malicious
640.8,192.0.2.28,198.51.100.11,443,tcp,http,assets.example,203.0.113.12,"/api/v1/telemetry/up?d=@M@M@M@M@M…",c2-fronting-,campaign,malicious
650.6,192.0.2.30,198.51.100.12,443,tcp,http,cdn.example,203.0.113.10,"/api/v1/telemetry/up?d=@M@M@M@M@M…",c2-fronting-,campaign,malicious
672.3,192.0.2.22,198.51.100.12,443,tcp,http,static.example,203.0.113.14,"/api/v1/telemetry/up?d=@M@M@M@M@M…",c2-fronting-,campaign,malicious
680.7,192.0.2.23,198.51.100.11,443,tcp,http,news.invalid,news.invalid,/search?q=meeting+notes,browser-chro,benign,clean
690.4,192.0.2.30,198.51.100.12,443,tcp,http,api.example,203.0.113.12,/api/v1/telemetry,c2-fronting-,campaign,malicious
690.4,192.0.2.28,198.51.100.12,443,tcp,http,assets.example,203.0.113.11,/api/v1/telemetry,c2-fronting-,campaign,malicious
711.7,192.0.2.22,198.51.100.11,443,tcp,http,cdn.example,203.0.113.12,/api/v1/telemetry,c2-fronting-,campaign,malicious
731.6,192.0.2.16,198.51.100.11,443,tcp,http,docs.example,docs.example,/,browser-chro,benign,clean
732.9,192.0.2.30,198.51.100.10,443,tcp,http,updates.example,203.0.113.11,/api/v1/telemetry,c2-fronting-,campaign,malicious
738.0,192.0.2.28,198.51.100.11,443,tcp,http,api.example,203.0.113.12,/api/v1/telemetry,c2-fronting-,campaign,malicious
762.0,192.0.2.22,198.51.100.10,443,tcp,http,static.example,203.0.113.14,/api/v1/telemetry,c2-fronting-,campaign,malicious
773.4,192.0.2.30,198.51.100.11,443,tcp,http,updates.example,203.0.113.11,/api/v1/telemetry,c2-fronting-,campaign,malicious
791.0,192.0.2.17,198.51.100.53,123,udp,ntp,-,time.example,/,-,ntp,clean
795.0,192.0.2.28,198.51.100.10,443,tcp,http,assets.example,203.0.113.10,/api/v1/telemetry,c2-fronting-,campaign,malicious
802.9,192.0.2.22,198.51.100.13,443,tcp,http,api.example,203.0.113.12,/api/v1/telemetry,c2-fronting-,campaign,malicious
809.3,192.0.2.30,198.51.100.11,443,tcp,http,cdn.example,203.0.113.10,/api/v1/telemetry,c2-fronting-,campaign,malicious
809.7,192.0.2.17,198.51.100.11,443,tcp,http,news.invalid,news.invalid,/assets/app.css,browser-chro,benign,clean
817.4,192.0.2.30,198.51.100.10,443,tcp,http,portal.example,portal.example,/index.html,browser-chro,benign,clean
818.6,192.0.2.22,198.51.100.11,443,tcp,http,news.invalid,news.invalid,/,browser-chro,benign,clean
845.9,192.0.2.28,198.51.100.12,443,tcp,http,assets.example,203.0.113.14,/api/v1/telemetry,c2-fronting-,campaign,malicious
849.2,192.0.2.22,198.51.100.11,443,tcp,http,updates.example,203.0.113.11,/api/v1/telemetry,c2-fronting-,campaign,malicious
850.3,192.0.2.16,198.51.100.53,123,udp,ntp,-,ntp.example,/,-,ntp,clean
854.6,192.0.2.30,198.51.100.13,443,tcp,http,cdn.example,203.0.113.12,/api/v1/telemetry,c2-fronting-,campaign,malicious
873.2,192.0.2.21,198.51.100.10,443,tcp,http,search.example,search.example,/,browser-chro,benign,clean
877.9,192.0.2.26,198.51.100.11,443,tcp,http,docs.example,docs.example,/api/v1/me,browser-chro,benign,clean
884.2,192.0.2.28,198.51.100.10,443,tcp,http,api.example,203.0.113.11,/api/v1/telemetry,c2-fronting-,campaign,malicious
887.5,192.0.2.17,198.51.100.12,443,tcp,http,portal.example,portal.example,/,browser-chro,benign,clean
890.1,192.0.2.30,198.51.100.10,443,tcp,http,updates.example,203.0.113.10,/api/v1/telemetry,c2-fronting-,campaign,malicious
898.8,192.0.2.22,198.51.100.12,443,tcp,http,cdn.example,203.0.113.11,/api/v1/telemetry,c2-fronting-,campaign,malicious
927.1,192.0.2.28,198.51.100.11,443,tcp,http,assets.example,203.0.113.12,/api/v1/telemetry,c2-fronting-,campaign,malicious
927.7,192.0.2.28,198.51.100.11,443,tcp,http,wiki.example,wiki.example,/assets/app.css,browser-chro,benign,clean
930.2,192.0.2.22,198.51.100.12,443,tcp,http,mail.example,mail.example,/api/v1/me,browser-chro,benign,clean
930.5,192.0.2.23,198.51.100.11,443,tcp,http,mail.example,mail.example,/search?q=meeting+notes,browser-chro,benign,clean
939.1,192.0.2.30,198.51.100.13,443,tcp,http,assets.example,203.0.113.11,"/api/v1/telemetry/up?d=@M@M@M@M@M…",c2-fronting-,campaign,malicious
942.9,192.0.2.22,198.51.100.10,443,tcp,http,updates.example,203.0.113.13,/api/v1/telemetry,c2-fronting-,campaign,malicious
973.1,192.0.2.28,198.51.100.11,443,tcp,http,static.example,203.0.113.14,"/api/v1/telemetry/up?d=@M@M@M@M@M…",c2-fronting-,campaign,malicious
979.3,192.0.2.30,198.51.100.11,443,tcp,http,updates.example,203.0.113.13,/api/v1/telemetry,c2-fronting-,campaign,malicious
981.6,192.0.2.16,198.51.100.10,443,tcp,http,intranet.example,intranet.example,/,browser-chro,benign,clean
981.8,192.0.2.22,198.51.100.12,443,tcp,http,assets.example,203.0.113.11,"/api/v1/telemetry/up?d=@M@M@M@M@M…",c2-fronting-,campaign,malicious
991.0,192.0.2.22,198.51.100.53,123,udp,ntp,-,ntp.example,/,-,ntp,clean
1020.2,192.0.2.22,198.51.100.10,443,tcp,http,cdn.example,203.0.113.11,/api/v1/telemetry,c2-fronting-,campaign,malicious
1023.3,192.0.2.28,198.51.100.11,443,tcp,http,cdn.example,203.0.113.11,/api/v1/telemetry,c2-fronting-,campaign,malicious
1029.6,192.0.2.30,198.51.100.10,443,tcp,http,assets.example,203.0.113.11,/api/v1/telemetry,c2-fronting-,campaign,malicious
